country
AFGHANISTAN
ALBANIA
Algeria
American Samoa
Andorra
ANGOLA
Anguilla
Antigua-Barbuda
Arabian Peninsula
ARGENTINA
ARMENIA
Aruba
AUSTRALIA
Austria
Azerbaijan
BAHAMAS
Bahrain
BANGLADESH
Barbados
Belarus
Belgium
BELIZE
Benin
Bermuda
Bhutan
BOLIVIA
Born On Board Ship
Bosnia-Herzegovina
Botswana
BRAZIL
British Virgin Islands
Brunei
BULGARIA
BURKINA FASO
Burma
Burundi
CAMBODIA
CAMEROON
CANADA
Cape Verde
Cayman Islands
Central African Republic
CHAD
CHILE
"China, Peoples Republic of"
Christmas Island
Cocos Islands
COLOMBIA
Comoros
CONGO
Cook Islands
COSTA RICA
Croatia
CUBA
Cyprus
Czechoslovakia
Czech Republic
Dem Rep of The Congo
DENMARK
Djibouti
Dominica
DOMINICAN REPUBLIC
East Timor
ECUADOR
EGYPT
EL SALVADOR
Equatorial Guinea
ERITREA
ESTONIA
ETHIOPIA
Falkland Islands
FIJI
Finland
FRANCE
French Guiana
FRENCH POLYNESIA
French Southern and Antarctic
Gabon
Gambia
GEORGIA
GERMANY
GHANA
Gibraltar
GREECE
Greenland
Grenada
Guadeloupe
GUAM
GUATEMALA
GUINEA
Guinea-Bissau
GUYANA
HAITI
Holy See
HONDURAS
HONG KONG
HUNGARY
Iceland
INDIA
INDONESIA
IRAN
IRAQ
Ireland
ISRAEL
Italy
Ivory Coast
JAMAICA
JAPAN
JORDAN
KAZAKHSTAN
KENYA
Kiribati
Korea
Kosovo
Kuwait
Kyrgyzstan
Laos
Latvia
LEBANON
Lesotho
Liberia
Libya
Liechtenstein
Lithuania
Luxembourg
Macau
Macedonia
Madagascar
MALAWI
MALAYSIA
Maldives
Mali
MALTA
"Mariana Islands, Northern"
Marshall Islands
Martinique
MAURITANIA
Mauritius
MEXICO
"Micronesia, Federated States of"
Moldova
Monaco
MONGOLIA
Montserrat
MOROCCO
Mozambique
Namibia
Nauru
NEPAL
Netherlands
Netherlands Antilles
New Caledonia
NEW ZEALAND
NICARAGUA
Niger
NIGERIA
Niue
North Korea
Norway
Oceania
Oman
PAKISTAN
Palau
PANAMA
Papua New Guinea
Paraguay
PERU
PHILIPPINES
Pitcairn Islands
POLAND
PORTUGAL
Qatar
Reunion
ROMANIA
RUSSIA
Rwanda
SAMOA
San Marino
Sao Tome and Principe
SAUDI ARABIA
Senegal
Serbia and Montenegro
Seychelles
SIERRA LEONE
Singapore
Slovakia
Slovenia
Solomon Islands
SOMALIA
SOUTH AFRICA
South Korea
South Sudan
SPAIN
Sri Lanka
St. Helena
St. Kitts-Nevis
St. Lucia
St. Pierre and Miquelon
St. Vincent-Grenadines
STATELESS
SUDAN
Suriname
Swaziland
Sweden
SWITZERLAND
SYRIA
Taiwan
TAJIKISTAN
Tanzania
THAILAND
TOGO
TONGA
Trinidad and Tobago
TUNISIA
TURKEY
Turkmenistan
Turks and Caicos Islands
Tuvalu
UGANDA
UKRAINE
UNITED ARAB EMIRATES
UNITED KINGDOM
Unknown
Uruguay
Ussr
UZBEKISTAN
Vanuatu
VENEZUELA
VIETNAM
Wallis and Futuna Islands
Western Sahara
Western Samoa
Yemen
Yugoslavia
Zaire
Zambia
ZIMBABWE
